book	chapter	verse	suz_sentence	npi_sentence	alignment_type	confidence_signal
MAT	1	2	इसहाकमी याकूब थि‍माक्‍त।		1:0	length_only
MAT	1	2	याकूबमी यहूदा नु आ वोबु थीमी बाक्‍त।		1:0	length_only
MAT	1	3	हेस्रोनमी अराम थि‍माक्‍त।		1:0	length_only
MAT	1	4	नहशोनमी साल्‍मोन थि‍माक्‍त।		1:0	length_only
MAT	1	5	ओबेदमी येस्‍से थि‍माक्‍त।		1:0	length_only
MAT	1	5	येस्‍सेमी दाऊद थि‍माक्‍त।		1:0	length_only
MAT	1	5	दाऊद चहिं पिप दुम्‍माक्‍त।		1:0	length_only
MAT	1	7	अबीयाहमी आसा थि‍माक्‍त।		1:0	length_only
MAT	1	8	आसामी येहो-शाफात थि‍माक्‍त।		1:0	length_only
MAT	1	9	आहाजमी हिज्कीयाह थि‍माक्‍त।		1:0	length_only
MAT	1	10	आमोनमी योसीयाह थि‍माक्‍त।		1:0	length_only
MAT	1	13	एल्‍याकीममी आजोर थि‍माक्‍त।		1:0	length_only
MAT	1	14	आजोरमी सादोक थि‍माक्‍त।		1:0	length_only
MAT	1	15	एलीउदमी एलाजर थि‍माक्‍त।		1:0	length_only
MAT	1	16	मरीयममी येसु थि‍माक्‍त।		1:0	length_only
MAT	1	16	येसु कली ख्रीस्‍त देंमा बाक्‍त।		1:0	length_only
MAT	1	17	अब्राहाम रे पा दाऊद सम्‍म १४ पाला दुम्‍मा बाक्‍त।		1:0	length_only
MAT	1	18	परमप्रभु यावे आ सोक्‍त रे पा दुम्‍शो बाक्‍माक्‍त।		1:0	length_only
MAT	1	21	नोले तौ का थीब।		1:0	length_only
MAT	2	1	येसु यहूदीया रागी ङा बेथलेहेम सहरमी जरमेसे बाक्‍त।		1:0	length_only
MAT	2	9	मिनु मेकोपुकीमी पिप आ लोव़ नेंशा, आन लां खोदमे बाक्‍त।		1:0	length_only
MAT	4	24	मिनु सिरीया रागी नेल्‍ल मेको आ पर्बम लोव़ ब्रम्‍माक्‍त।		1:0	length_only
MAT	4	24	मिनु येसुमी मेको नेल्‍ल आन कली सापाइक्‍मी बाक्‍त।		1:0	length_only
MAT	5	25	मिनु निसाफ पाइबमी पुलीस आन गुइमी गेब।		1:0	length_only
MAT	5	25	मिनु पुलीसम जेल्‍खानम चोक्‍नीम।		1:0	length_only
MAT	5	34	गोमी मार देंनुङ देंशा हना, कसम का यो मजने।		1:0	length_only
MAT	5	35	रागी आ नेंमी यो कसम मजने।		1:0	length_only
MAT	5	35	मारदे हना रागी परमप्रभु यावे आ खोइल थेक्‍तीक बाक्‍ब।		1:0	length_only
MAT	7	15	होस पांइसीने।		1:0	length_only
MAT	7	15	मेको आन थुं चहिं फर के खोदेंशो बाक्‍नीम।		1:0	length_only
MAT	9	13	पापी आन कली ब्रेत्‍थ जाक्‍शो नङ” दे माइक्‍तीमी।		1:0	length_only
MAT	10	8	रोइ पाइब आन कली सापतीन।		1:0	length_only
MAT	10	8	मिनु मोशा गेने।		1:0	length_only
MAT	10	19	इन कली मोपा राप्‍पदमेनु, मार लोव़ पका?		1:0	length_only
MAT	10	19	मार देंका?		1:0	length_only
MAT	10	26	मोपतीके मेको आन कली तशा महिनीन।		1:0	length_only
MAT	11	19	रागीम जरमेशोमी चहिं जचा तूचा थोव़क नेल्‍ल जाइब तूब।		1:0	length_only
MAT	11	27	आं आफोमी ला तुइक्‍ब।		1:0	length_only
MAT	11	27	सुइमी आं आफ कली मतुइक्‍नीम।		1:0	length_only
MAT	11	29	आं जवा लाम्‍सीशा, गो नु शेंसीने।		1:0	length_only
MAT	12	4	अरु मुरपुकीमी जचा मदुम्‍ब बाक्‍माक्‍त।		1:0	length_only
MAT	12	5	नाइक्‍तीक नाक्‍त चढ़ेबपुकीमी परमप्रभु यावे आ खिंमी चढ़ेनीम।		1:0	length_only
MAT	12	5	मेकोपुकीमी गेय पाइनीम।		1:0	length_only
MAT	12	19	मेकोमी जिचा मपोक्‍ब।		1:0	length_only
MAT	12	33	ब्रोव़शो फल सिप्‍ब रवा ख्रुम्‍तीनी हना, ब्रोव़शो फल सिप्‍ब।		1:0	length_only
MAT	13	13		त्यसैले, तिनीहरूसँग म दृष्‍टान्तमा बोल्दछु, किनकि तिनीहरूले देखे तापनि तिनीहरूले वास्तवमा देख्दैनन् ।	0:1	length_only
MAT	13	13	नेंशा यो मरुप्‍नीम।		1:0	length_only
MAT	13	15	मेको मुर आन थुं ग्‍याम्‍शो बाक्‍नीम।		1:0	length_only
MAT	13	15	आन नोफा थांइशो बाक्‍नीम।		1:0	length_only
MAT	13	15		यसैले, तिनीहरूले आफ्ना आँखाले देख्दैनन्, वा तिनीहरूले आफ्ना कानले सुन्दैनन्, वा तिनीहरूले आफ्ना हृदयले बुझ्दैनन् ।’	0:1	length_only
MAT	13	16	गेपुकी चहिं ग्‍येरसीने।		1:0	length_only
MAT	13	22	दोपा क्‍येट चेमु?		1:0	length_only
MAT	13	22	दे मिम्‍शा, आ थमा सुइक्‍तीके देक्‍ब।		1:0	length_only
MAT	13	22	मिनु नेंशो लोव़मी फल मसिप्‍ब।		1:0	length_only
MAT	13	31		त्यसपछि येशूले तिनीहरूलाई अर्को दृष्‍टान्त भन्‍नुभयो ।	0:1	length_only
MAT	14	5	मो देंतीके यूहन्‍ना कली साइक्‍चा माल्‍शो बाक्‍माक्‍त।		1:0	length_only
MAT	14	19		अनि येशूले भिडलाई चौरमा बस्‍नको लागि आदेश दिनुभयो ।	0:1	length_only
MAT	14	19		चेलाहरूले ती भिडहरूलाई दिए ।	0:1	length_only
MAT	16	3	तन्‍न मुल मार दुम्‍चशो बाक्‍बा मेको आ चिन्‍ड मरुप्‍नीनी।		1:0	length_only
MAT	20	20		त्यसपछि जब्दियाका छोराहरूकी आमा आफ्ना दुई छोराका साथमा येशूकहाँ आइन् ।	0:1	length_only
MAT	21	33		अर्को दृष्‍टान्त सुन ।	0:1	length_only
MAT	21	33		त्यसपछि उनी अर्कै देशमा गए ।	0:1	length_only
MAT	22	16		त्यसपछि तिनीहरूले आफ्ना चेलाहरू र हेरोदी दलका केही मानिसहरूलाई उहाँकहाँ पठाए ।	0:1	length_only
MAT	22	26	मिनु आल मथिथु बेक्‍त।		1:0	length_only
MAT	22	26	मिनु माइलामी आ भोग्‍यु वोंइसाक्‍व।		1:0	length_only
MAT	22	26	मिनु मेको यो आल मथिथु बेक्‍त।		1:0	length_only
MAT	22	32	परमप्रभु यावे बेक्‍शो मुर आन परमप्रभु यावे ममाइ।		1:0	length_only
MAT	22	32	ब्रोंइशो आन परमप्रभु यावे बाक्‍ब” दे माइक्‍तीमी।		1:0	length_only
MAT	22	45	दे माइक्‍तीमी।		1:0	length_only
MAT	23	8	गे नेल्‍ल वोबु ननी।		1:0	length_only
MAT	23	35	मेको मोपा खेदा पा साइश्‍शो पाप नेल्‍ल इन कली राइब।		1:0	length_only
MAT	24	10	वारच आन दातेमी काइ मदाक्‍मुइनीम।		1:0	length_only
MAT	24	24	मारदे हना शुशेमी ‘गो ख्रीस्‍त नङ’ दे जोल पा गाक्‍नीम।		1:0	length_only
MAT	24	29	तास्‍ला आ हाम्‍सो यो जाम्‍ब, सोरुल खपीम दोक्‍नीम।		1:0	length_only
MAT	24	29	सरीङ ङा सक्ति हिम्‍सीनीम।		1:0	length_only
MAT	24	36	तौमी यो मतुइक्‍ब।		1:0	length_only
MAT	24	36	आफोमी ला तुइक्‍ब।		1:0	length_only
MAT	25	35	इन मतुइश्‍शो मुर इन खिं जाक्‍ङानु, बाक्‍चा गेतीनी।		1:0	length_only
MAT	25	36	फेक्‍चा मतङानु, फेक्‍चा गेतीनी।		1:0	length_only
MAT	25	43	इन मतुइश्‍शो मुर इन खिंमी जाक्‍ङानु, बाक्‍चा मगेयीनी।		1:0	length_only
MAT	26	28	एको आं हुश बाक्‍ब।		1:0	length_only
MAT	26	47		तिनीहरू लाठीहरू र तरवारहरू बोकेर आए ।	0:1	length_only
MAT	27	52	सेरथे फुल्‍लु नेल्‍ल एश्‍शा ब्रोल्‍मा बाक्‍त।		1:0	length_only
MAT	27	56	का जब्‍दी आ तौ निक्‍शी आस ममा बाक्‍माक्‍त।		1:0	length_only
MRK	1	6	यूहन्‍नामी दलओंठ आ चां के प्रोव़शो वा फेक्‍बाक्‍माक्‍त।		1:0	length_only
MRK	1	22	अधिकार पाइश्‍शो लोव़ पा शेंदीमी बाक्‍त।		1:0	length_only
MRK	1	31	मिनु सेस दुम्‍शा, मेको आन कली मान पा थुल्‍मी बाक्‍त।		1:0	length_only
MRK	1	34	वोल आन कली लोव़ पचा मगेवा बाक्‍त।		1:0	length_only
MRK	1	34	मारदे हना वोलपुकीमी येसु कली तुइश्‍शो बाक्‍तेक्‍म।		1:0	length_only
MRK	2	8		उहाँले तिनीहरूलाई भन्‍नुभयो, “तिमीहरूले आफ्नो हृदयमा किन यस्तो विचार गर्छौ ?”	0:1	length_only
MRK	2	13	मिनु येसुमी मेको आन कली शेंदीमी बाक्‍त।		1:0	length_only
MRK	2	21	मारदे हना माइत नु नक मगारब।		1:0	length_only
MRK	2	26	अर्को मुरपुकीमी जचा मदुम्‍ब बाक्‍माक्‍त।		1:0	length_only
MRK	3	7	मेको खोइक्‍बपुकी ते ते ङा बाक्‍मा बाक्‍त देंशा हना, गालील नु यहूदीया रागी ङा,		1:0	length_only
MRK	3	13	काबु येसु डांडा ङोंइ‍से बाक्‍त।		1:0	length_only
MRK	4	12	मारदे हना आन मिक्‍चीमी कोव़नीम, तन्‍न मताइनीम।		1:0	length_only
MRK	4	19	तन्‍न दोपा ठेयब दुम्‍नुङा?		1:0	length_only
MRK	4	19	दोपा क्‍येट चेमु?		1:0	length_only
MRK	4	19	दोपा मारेइ मारेइ ताइनुङा?		1:0	length_only
MRK	4	31		यो रायोको (तोरीको) बिउजस्तो हो ।	0:1	length_only
MRK	5	13	मिनु येसुमी लशा, ओव़चा गेमी बाक्‍त।		1:0	length_only
MRK	5	40	मिनु मेकोपुकीमी आ देंशो थमा मसुदमे बाक्‍त।		1:0	length_only
MRK	6	3	शी मुइब ममाइ ङा?		1:0	length_only
MRK	6	3	मरीयम आ तौ ममाइ ङा?		1:0	length_only
MRK	6	3	दे आन थुं मनुशो लोव़ पमुमा बाक्‍त।		1:0	length_only
MRK	6	10	खिं खिं याक्‍शा मबाक्‍कीन।		1:0	length_only
MRK	6	27		सुरक्षाकर्मी गए र झ्यालखानामा उनको टाउको काटे ।	0:1	length_only
MRK	9	18	आ ख्रुइ शेप्‍ब।		1:0	length_only
MRK	9	36		उहाँले त्यसलाई हातमा लिनुभयो र तिनीहरूलाई भन्‍नुभयो,	0:1	length_only
MRK	11	1		येशूले उहाँका दुई जना चेलालाई पठाउनुभयो ।	0:1	length_only
MRK	11	7	मिनु येसु ङोंइसे बाक्‍त।		1:0	length_only
MRK	11	32	मुर रे तवा बाक्‍त देंचा यो दोपा देंय” दे लोव़सी पमुमा बाक्‍त।		1:0	length_only
MRK	12	15	गोपुकीमी थाप्‍चा देय मथाप्‍चा?		1:0	length_only
MRK	12	20	मिनु आल मथिथु बेक्‍माक्‍त।		1:0	length_only
MRK	12	28		शास्‍त्रीहरूमध्येका एक जना आए र तिनीहरूका छलफल सुने ।	0:1	length_only
MRK	13	7	रागी नुप्‍ची चहिं मजा।		1:0	length_only
MRK	13	22	शुशेमी ‘गो ख्रीस्‍त नङ’ दे जोल पा गाक्‍नीम।		1:0	length_only
MRK	13	24	तास्‍ला आ हाम्‍सो यो जाम्‍ब।		1:0	length_only
MRK	13	32	तौमी लायो मतुइक्‍ब।		1:0	length_only
MRK	13	32	आं आफोमी ला तुइक्‍ब।		1:0	length_only
MRK	13	33		सचेत रहो !	0:1	length_only
MRK	13	33		(टिपोटः केही प्राचीन प्रामाणिक लेखहरूले यसलाई यसरी उल्लेख गर्छन्‌: होसियार रहो, जागा रहो र प्रार्थना गर किनकि .	0:1	length_only
MRK	13	33		.	0:1	length_only
MRK	13	35	नाक्‍दो जाक्‍बा कों?		1:0	length_only
MRK	13	35	मेको इन मतुइक्‍थु जाक्‍ब।		1:0	length_only
MRK	14	65	मिनु सिपाइ आन गुइमी गेमे बाक्‍त।		1:0	length_only
MRK	14	65	मेकोपुकीमी तुप्‍ना तुप्‍न लदमे बाक्‍त।		1:0	length_only
MRK	15	21	मिनु लना लन बाक्‍मानु, आ गाउं रे पिशो साइरेनी ङा सिमोन ग्रुम्‍मे बाक्‍त।		1:0	length_only
MRK	15	40	का सालोमे बाक्‍माक्‍त।		1:0	length_only
MRK	16	6		उहाँ यहाँ हुनुहुन्‍न ।	0:1	length_only
MRK	16	6		तिनीहरूले उहाँलाई राखेको ठाउँलाई हेर ।	0:1	length_only
MRK	16	14	मिनु नोले आ शेंसीब ११ जनामी खमे जना जन बाक्‍मानु, येसुमी मेको आन कली तपांइसे बाक्‍त।		1:0	length_only
LUK	1	8	मिनु मेकेर जाक्‍दीश्‍शा, परमप्रभु यावे आ खिंमी गेय पवा बाक्‍त।		1:0	length_only
LUK	2	4	योसेफ पिप दाऊद आ खिं ङा बाक्‍माक्‍त।		1:0	length_only
LUK	2	9	मेको तशा गोठलापुकी शुश हिंमा बाक्‍त।		1:0	length_only
LUK	2	52	मुरपुकीमी यो दाक्‍तमे बाक्‍त।		1:0	length_only
LUK	3	2	मिनु परमप्रभु यावेमी यूहन्‍ना कली लोव़ पवा बाक्‍त।		1:0	length_only
LUK	3	5	बेंसी नेल्‍ल प्रिंचा पुंइसीनीम।		1:0	length_only
LUK	3	5	डांडा नेल्‍ल दिंम सेल्‍चा पुंइसीनीम।		1:0	length_only
LUK	3	8	इन थुं परमप्रभु यावे गे लेश्‍शा, रिम्‍शो फल सिश्‍शो खोदेंशो गेय कोंइदीने।		1:0	length_only
LUK	3	24	हेली मात्‍थात आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	24	मात्‍थात लेवी आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	24	लेवी मेल्‍की आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	25	आमोस नाहुम आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	25	नाहुम एस्‍ली आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	25	एस्‍ली नग्‍गै आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	26	नग्‍गै माथ आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	26	सेमेइन योसेक आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	26	योसेक योदा आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	27	योदा योआनान आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	27	योआनान रेसा आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	27	शाल्‍तीएल नेरी आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	28	नेरी मेल्‍की आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	28	मेल्‍की अददी आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	28	अददी कोसाम आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	29	एर यहोसु आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	29	यहोसु एलीएजर आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	29	एलीएजर योरीम आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	30	लेवी सिमियोन आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	30	सिमियोन यहूदा आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	30	यहूदा योसेफ आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	31	एल्‍याकीम मेलेया आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	31	मेलेया मेन्‍ना आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	31	नाथान दाऊद आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	32	दाऊद येस्‍से आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	32	येस्‍से ओबेद आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	32	ओबेद बोआज आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	33	आदमीन अरनी आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	33	अरनी हेस्रोन आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	33	हेस्रोन पेरेस आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	33	पेरेस यहूदा आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	34	यहूदा याकूब आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	34	याकूब इसहाक आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	34	तेराह नाहोर आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	35	नाहोर सेरूग आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	35	सेरूग रेऊ आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	35	रेऊ पेलेग आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	35	,		1:0	length_only
LUK	3	36	शेलाह केनान आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	36	शेम नोआह आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	36	नोआह लमेक आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	37	लमेक मेथुसेलाह आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	37	मेथुसेलाह हनोक आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	37	हनोक यरेद आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	38	केनान एनोश आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	3	38	एनोश सेथ आ तौ बाक्‍माक्‍त।		1:0	length_only
LUK	4	25	मिनु रागी नेल्‍ल ङा मुरपुकीमी जचा मतामे बाक्‍त।		1:0	length_only
LUK	4	27	एलीशा आ पालामी यो इस्राएल रागीमी शुश कोव़र पाइब मुर बाक्‍मा बाक्‍त।		1:0	length_only
LUK	4	41	शुश मुर रे वोल ग्रुंइदा बाक्‍त।		1:0	length_only
LUK	4	41	मारदे हना मेकोपुकीम “ख्रीस्‍त बाक्ब” दे ङोंइती रे तुइश्‍शो बाक्‍मा बाक्‍त।		1:0	length_only
LUK	5	3	मिनु डोंगा का ङोंइसे बाक्‍त।		1:0	length_only
LUK	5	15	सुइ कली मदेंचा देंशो बाक्‍त हना यो, शुश मुरुमी येसु आ पर्बम लोव़ पामे बाक्‍त।		1:0	length_only
LUK	5	37	मेको थैलो यो खतम दुम्‍ब।		1:0	length_only
LUK	6	4	अरु मुरपुकीमी जचा मदुम्‍बा, ममाइ ङा?”		1:0	length_only
LUK	6	4	दे माइक्‍मी बाक्‍त।		1:0	length_only
LUK	6	22		धन्य हौ तिमीहरू जब मानिसहरूले तिमीहरूलाई घृणा गर्दछन् ।	0:1	length_only
LUK	7	7	मिनु आं वाइल साब।		1:0	length_only
LUK	7	8	गो यो अधिकार पाइश्‍शो मुर बाक्‍नुङ।		1:0	length_only
LUK	7	21	मिक्‍च मताइब आन कली मिक्‍च तपाइक्‍ना पाइक्‍न बाक्‍माक्‍त।		1:0	length_only
LUK	7	37	मिनु सहर ङा मीश मुर का यो बाक्‍माक्‍त।		1:0	length_only
LUK	8	3	का हेरोद आ गेय पाइब कूजा आ मीश योअन्‍ना बाक्‍माक्‍त।		1:0	length_only
LUK	8	3	का सुसन्‍ना बाक्‍माक्‍त।		1:0	length_only
LUK	8	12	मोपा थमा मसुइक्‍नीम।		1:0	length_only
LUK	8	12	मिनु पाप रे ब्रोंइचा मताइनीम।		1:0	length_only
LUK	8	16	सुइमी बत्ती दाशा सुम्‍शा मवोइक्‍नीम।		1:0	length_only
LUK	8	23	मिनु मोपा लमानु, येसु निन्‍द्रा पवा बाक्‍त।		1:0	length_only
LUK	8	24	मिनु फश गिवार नाइश्‍शा ब्‍वाक्‍कु यो ख्रा दिक्‍माक्‍त।		1:0	length_only
LUK	8	24	मिनु सिक्‍सी दुम्‍माक्‍त।		1:0	length_only
LUK	8	37	मिनु येसु डोंगा ङोइश्‍शा लेम्‍माक्‍त।		1:0	length_only
LUK	9	39		यो उसबाट मुस्किलले जान्छ, जब यसले छोड्छ तब उसलाई नराम्रो गरी चोट पार्छ ।	0:1	length_only
LUK	9	53	तन्‍न मुरपुकीम बाक्‍चा गेने मबिस्‍समा बाक्‍त।		1:0	length_only
LUK	10	13		खोराजीन, तँलाई धिक्‍कार छ !	0:1	length_only
LUK	10	16	सुमी इन शेंशो नेंना, मेकोमी आं शेंशो नेंब।		1:0	length_only
LUK	10	19	मोदेंशो पा सैतानमी इन कली मारेइ पने मचाप्‍ब।		1:0	length_only
LUK	10	19	सुइमी यो इन कली मारेइ पने मचाप्‍ब।		1:0	length_only
LUK	10	20	वोलम इन देंशो टीनीम, दे तुइक्‍नीनी।		1:0	length_only
LUK	10	22	सुइमी आं आफ कली मतुइक्‍नीम।		1:0	length_only
LUK	10	22	आ तौमी ला तुइक्‍ब।		1:0	length_only
LUK	10	22	मिनु तौमी सु सु आन थुंम तुइक्‍तीक वोइक्‍बा, मेकोपुकीमी यो तुइक्‍नीम” देंमाक्‍त।		1:0	length_only
LUK	11	9	परमप्रभु यावे कली पुनीने।		1:0	length_only
LUK	11	9	मिनु इन पुंइशो ताइनीनी।		1:0	length_only
LUK	11	9	मालीने।		1:0	length_only
LUK	11	9	मिनु इन माल्‍शो थित्‍नीनी।		1:0	length_only
LUK	11	10	मोपतीके सुम पुंइबा, मेकोमी आ पुंइशो ताइब।		1:0	length_only
LUK	11	25	मिनु ओव़शा बाक्‍नीम।		1:0	length_only
LUK	11	31	नेनीन, एकेर सोलोमन क्‍येङा यो ठेयब का बाक्‍ब।		1:0	length_only
LUK	11	43	आबी, फरिसीपुकी, गे खतम बाक्‍नीनी।		1:0	length_only
LUK	11	47	आबी, गे खतम बाक्‍नीनी।		1:0	length_only
LUK	11	48	मोपा इन किकी पिपी नु गारशो दुम्‍तीनी।		1:0	length_only
LUK	11	48	गेपुकीमी चहिं तुरस सेल्‍ना सेल्‍न बाक्‍तीनी।		1:0	length_only
LUK	11	51	ङोंइती साइश्‍शो हाबील बाक्‍त।		1:0	length_only
LUK	11	51	नेल्‍ल क्‍येङा नोले साइश्‍शो जकरिया बाक्‍त।		1:0	length_only
LUK	12	27	श्‍येत पा गेय मपाइनीम।		1:0	length_only
LUK	12	28	परमप्रभु यावेमी मेको घांस रिम्‍शो पा ग्‍योम्‍ताक्‍व बाक्‍त हना यो, याम का बाक्चा गेब।		1:0	length_only
LUK	12	52	निक्‍शीम थमा सुइक्‍नीसी, सांमी थमा मसुइक्‍नीम।		1:0	length_only
LUK	12	53	आफोमी थमा सुइक्‍ब, आ तौमी थमा मसुइक्‍ब।		1:0	length_only
LUK	12	53	मिनु आफ कली आइक्‍च सेल्‍ब।		1:0	length_only
LUK	12	53	तौमी थमा सुइक्‍ब, आ आफोम थमा मसुइक्‍ब।		1:0	length_only
LUK	12	53	मिनु आ तौ कली आइक्‍च सेल्‍ब।		1:0	length_only
LUK	12	53	ममामी थमा सुइक्‍ब, तमीमी थमा मसुइक्‍ब।		1:0	length_only
LUK	13	4	ममाइ, मेको इन खोदेंशोन नम।		1:0	length_only
LUK	13	11	रिम्‍शो पा राप्‍ने मचाप्‍बाक्‍माक्‍त।		1:0	length_only
LUK	13	16	एको मीश मुर अब्राहाम आ तमी बाक्‍ब।		1:0	length_only
LUK	13	16	मसापाइक्‍चा?”		1:0	length_only
LUK	13	16	दे हुइक्‍ता बाक्‍त।		1:0	length_only
LUK	13	19	मुर कामी आ रूमी तोरी शोक्‍गा बाक्‍त।		1:0	length_only
LUK	13	25	मारदे हना खिं ङा मुरुमी लाप्‍चो चोक्‍ब।		1:0	length_only
LUK	13	28	गे चहिं खेरचा पुंइसीनीनी।		1:0	length_only
LUK	14	9	इन कली चहिं वाइलपुकी नु निप्‍पाइक्‍ब।		1:0	length_only
LUK	14	9	मिनु मुने दोक्‍नीनी।		1:0	length_only
LUK	14	33	ममिम्‍थु मचाप्‍नीनी हना, आं शेंसीब दुम्‍ने मचाप्‍नीनी।		1:0	length_only
LUK	15	30	मिनु मचुरनुङा ङा?’		1:0	length_only
LUK	15	30	देंमाक्‍त।		1:0	length_only
LUK	15	32	इ लोक्‍ब चहिं बेक्‍शा रे ब्रोंइत।		1:0	length_only
LUK	16	26	मोशो ला ममाइ।		1:0	length_only
LUK	17	7	ममाइ।		1:0	length_only
LUK	17	10	गेपुकी गेय पाइब ननी।		1:0	length_only
LUK	18	14	परमप्रभु यावेमी मेको कली आ पाप क्‍याम्‍शा, ठीक दुम्‍पाइक्‍तु।		1:0	length_only
LUK	18	14	मिनु ठीक दुम्‍शा, आ खिं लेत्‍त।		1:0	length_only
LUK	18	14	फरिसी चहिं पाप क्‍याम्‍चा मतव।		1:0	length_only
LUK	18	33	मिनु युक्‍शा, हुश यिपाइक्‍नीम।		1:0	length_only
LUK	19	11	मिनु यरूसलेम आ नेक्‍था जाक्‍दीम्‍मा बाक्‍त।		1:0	length_only
LUK	19	44	मेकोपुकीमी इ कली नु इ आल आन कली खपीम राप्‍नीम।		1:0	length_only
LUK	20	20	मेको सोइश्‍शोपुकीमी येसु आ लोव़ नेंशा, थमा सुइश्‍शो खोदेंशो प‍खु पामे बाक्‍त।		1:0	length_only
LUK	20	31	मिनु साइलाम आ भोग्‍यु वोंइसे बाक्‍त।		1:0	length_only
LUK	20	36	मेकोपुकी गेनायो मबेक्‍ब दुम्‍शो बाक्‍नीम।		1:0	length_only
LUK	20	38	परमप्रभु यावे बेक्‍शो मुर आन परमप्रभु ममाइ।		1:0	length_only
LUK	20	44	लो, देनीन” देंमाक्‍त।		1:0	length_only
LUK	21	9	लडाइ दुम्‍शो, जुलुस बोक्‍शो लोव़ शुश नेंनीनी।		1:0	length_only
LUK	21	9	मेको लोव़ नेंशा महिनीन।		1:0	length_only
LUK	21	11	ठेयब ख्रिनु कुइब।		1:0	length_only
LUK	21	12	मो दुम्‍चा क्‍येङा ङोंइती थमा सुइक्‍ब इन कली खेदा पा ग्‍याइक्‍नीमी।		1:0	length_only
