suz_word	npi_word	frequency
।	।	7911
,	,	2980
।	,	1820
“	“	1626
नु	र	1112
”	।	1056
।	”	1054
,	र	1035
?	?	765
।	र	537
गो	म	506
यो	पनि	386
हना	भने	375
तन्‍न	तर	345
मिनु	र	336
आं	मेरो	325
परमप्रभु	परमेश्‍वरको	316
येसु	येशू	311
थमा	विश्‍वास	288
कली	निम्ति	287
आं	मलाई	282
इन	तिमीहरूलाई	279
मारदे	किनकि	278
मिनु	जब	257
येसुमी	भन्‍नुभयो	249
येसुमी	येशूले	244
‘	‘	241
देंमाक्‍त	”	219
गो	मैले	216
आं	मेरा	211
प्रभु	प्रभु	208
मिनु	येशूले	206
मिनु	तिनीहरूले	192
मेको	त्यो	192
”	”	192
आ	उहाँको	189
इन	तिमीहरूका	189
मार	के	189
“	,	186
दे	भनी	185
ङा	र	185
बाक्‍त	थिए	184
कली	,	183
देंत	”	182
मिनु	तर	179
ख्रीस्‍त	ख्रीष्‍ट	173
मिनु	त्यसपछि	173
बाक्‍ब	हो	172
बाक्‍त	गरे	171
’	’	171
नेल्‍ल	सबै	171
मिनु	उहाँले	171
मिनु	अनि	169
यावेमी	परमेश्‍वरले	168
शुश	धेरै	168
बाक्‍त	थियो	167
बाक्‍ब	छ	166
आ	आफ्नो	162
रिम्‍शो	असल	160
मेको	यो	158
आ	उहाँका	158
।	;	145
आं	म	141
कली	भन्‍नुभयो	141
इं	हाम्रा	139
गे	तिमीहरू	139
मारदे	किनभने	134
मिनु	तब	131
बाक्‍ब	हुनुहुन्छ	130
कली	भने	129
येसु	उहाँलाई	129
तौ	छोरा	129
कली	लागि	122
ख्रीस्‍त	ख्रीष्‍टको	119
आन	तिनीहरूका	116
गो	हामी	116
लोव़	वचन	114
,	कि	114
आन	तिनीहरूलाई	112
मेको	तिनीहरूलाई	110
यावे	परमेश्‍वरको	107
“	जवाफ	107
बाक्‍त	।	105
ला	मात्र	104
इन	तिमीहरूको	104
इ	तिम्रो	104
लोक्‍बपुकी	हो	100
।	!	97
येसु	येशूलाई	97
मेकोपुकीमी	तिनीहरूले	93
लोव़	कुरा	93
आफ	पिता	93
दे	भनेर	92
ममाइ	होइन	91
आ	पवित्र	90
दे	भन्‍ने	90
एको	यो	90
