suz_word	npi_word	frequency	sil_match_status
नु	र	1112	agree
गो	म	506	agree
यो	पनि	386	agree
हना	भने	375	disagree
तन्‍न	तर	345	agree
मिनु	र	336	disagree
आं	मेरो	325	agree
परमप्रभु	परमेश्‍वरको	316	not_in_SIL
येसु	येशू	311	not_in_SIL
थमा	विश्‍वास	288	disagree
कली	निम्ति	287	disagree
आं	मलाई	282	disagree
इन	तिमीहरूलाई	279	disagree
मारदे	किनकि	278	agree
मिनु	जब	257	disagree
येसुमी	भन्‍नुभयो	249	not_in_SIL
येसुमी	येशूले	244	not_in_SIL
गो	मैले	216	agree
आं	मेरा	211	disagree
प्रभु	प्रभु	208	not_in_SIL
मिनु	येशूले	206	disagree
मिनु	तिनीहरूले	192	disagree
मेको	त्यो	192	not_in_SIL
आ	उहाँको	189	disagree
इन	तिमीहरूका	189	disagree
मार	के	189	agree
दे	भनी	185	disagree
ङा	र	185	agree
बाक्‍त	थिए	184	not_in_SIL
मिनु	तर	179	disagree
ख्रीस्‍त	ख्रीष्‍ट	173	not_in_SIL
मिनु	त्यसपछि	173	disagree
बाक्‍ब	हो	172	not_in_SIL
बाक्‍त	गरे	171	not_in_SIL
नेल्‍ल	सबै	171	agree
मिनु	उहाँले	171	disagree
मिनु	अनि	169	agree
यावेमी	परमेश्‍वरले	168	not_in_SIL
शुश	धेरै	168	agree
बाक्‍त	थियो	167	not_in_SIL
बाक्‍ब	छ	166	not_in_SIL
आ	आफ्नो	162	disagree
रिम्‍शो	असल	160	not_in_SIL
मेको	यो	158	not_in_SIL
आ	उहाँका	158	disagree
आं	म	141	agree
कली	भन्‍नुभयो	141	disagree
इं	हाम्रा	139	disagree
गे	तिमीहरू	139	disagree
मारदे	किनभने	134	agree
मिनु	तब	131	disagree
बाक्‍ब	हुनुहुन्छ	130	not_in_SIL
कली	भने	129	disagree
येसु	उहाँलाई	129	not_in_SIL
तौ	छोरा	129	agree
कली	लागि	122	disagree
ख्रीस्‍त	ख्रीष्‍टको	119	not_in_SIL
आन	तिनीहरूका	116	disagree
गो	हामी	116	agree
लोव़	वचन	114	disagree
आन	तिनीहरूलाई	112	disagree
मेको	तिनीहरूलाई	110	not_in_SIL
यावे	परमेश्‍वरको	107	not_in_SIL
ला	मात्र	104	agree
इन	तिमीहरूको	104	agree
इ	तिम्रो	104	agree
लोक्‍बपुकी	हो	100	not_in_SIL
येसु	येशूलाई	97	not_in_SIL
मेकोपुकीमी	तिनीहरूले	93	not_in_SIL
लोव़	कुरा	93	agree
आफ	पिता	93	disagree
दे	भनेर	92	agree
ममाइ	होइन	91	agree
आ	पवित्र	90	disagree
दे	भन्‍ने	90	disagree
एको	यो	90	not_in_SIL
लोक्‍बपुकी	भाइहरू	89	not_in_SIL
तौ	पुत्र	87	disagree
बाक्‍माक्‍त	थिए	87	not_in_SIL
पर्बम	बारेमा	86	agree
गे	तिमी	86	disagree
आं	मैले	85	disagree
गेपुकी	तिमीहरू	84	agree
मुर	मानिस	83	agree
सुमी	जसले	83	not_in_SIL
आ	आफ्ना	82	disagree
एको	यी	80	not_in_SIL
परमप्रभु	परमेश्‍वर	79	not_in_SIL
येसुमी	दिनुभयो	79	not_in_SIL
परमप्रभु	परमेश्‍वरलाई	79	not_in_SIL
मेको	यी	79	not_in_SIL
येसु	येशूको	78	not_in_SIL
लेंशा	फेरि	78	disagree
यावे	परमेश्‍वरका	77	not_in_SIL
येसुमी	उहाँले	76	not_in_SIL
गेय	काम	76	agree
मेको	ती	75	not_in_SIL
नङ	हुँ	75	not_in_SIL
प्रार्थना	प्रार्थना	74	not_in_SIL
का	एक	74	agree
यावे	पवित्र	73	not_in_SIL
लोव़	कुराहरू	73	agree
मारदे	किन	73	agree
गे	तिमीहरूले	73	disagree
मेको	त्यस	72	not_in_SIL
येसु	उहाँको	71	not_in_SIL
येसु	उहाँ	71	not_in_SIL
ठेयब	मुख्य	70	disagree
परमप्रभु	तर	70	not_in_SIL
पत्रुस	पत्रुस	70	not_in_SIL
नोफा	म	70	disagree
निक्‍शी	दुई	69	not_in_SIL
दे	कि	69	disagree
पाप	पाप	69	not_in_SIL
इ	तिमीलाई	68	disagree
मिनु	तिनीहरू	67	disagree
इन	तिमीहरूले	67	disagree
मेको	तिनीहरू	67	not_in_SIL
परमप्रभु	किनकि	66	not_in_SIL
मिनु	त्यसैले	66	disagree
बाक्‍माक्‍त	थियो	65	not_in_SIL
नें	नाउँ	65	disagree
मेको	तिनीहरूले	65	not_in_SIL
शोब्‍ले	रोटी	65	not_in_SIL
पा	र	65	disagree
कली	प्रेम	65	disagree
इन	तपाईंको	65	agree
ठेयब	महान्	64	disagree
मेको	त्यसलाई	64	not_in_SIL
येसुमी	जवाफ	63	not_in_SIL
इं	हामीलाई	63	disagree
रागीम	मानिसका	62	not_in_SIL
गुइ	हात	61	agree
परमप्रभु	परमेश्‍वरका	60	not_in_SIL
ठेयब	ठुलो	60	disagree
दोपा	कसरी	60	agree
गोपुकी	हामी	60	agree
बेक्‍शो	जीवित	59	not_in_SIL
ठीक	धर्मी	59	not_in_SIL
मिनु	उनले	58	disagree
दाइश्‍शा	तिमीहरूलाई	58	not_in_SIL
इन	तिमीहरू	58	agree
हना	भए	58	disagree
निसाफ	न्याय	58	not_in_SIL
नाक्‍त	दिन	57	agree
गे	तपाईं	57	disagree
पर्बम	निम्ति	57	disagree
पत्रुसमी	पत्रुसले	57	not_in_SIL
आन	आफ्नो	56	disagree
मेको	उहाँ	56	not_in_SIL
बाक्‍तेक्‍म	थिए	55	not_in_SIL
मेकोमी	त्यसले	55	not_in_SIL
ङोंइती	पहिलो	55	disagree
मुल	अहिले	55	agree
नक	नयाँ	54	agree
शिशी	अनुग्रह	54	disagree
का	एउटा	53	agree
