book	chapter	verse	suz_text	npi_text
MAT	14	1	येसुमी छक लाक्‍चा ङा गेय पा शेंना शेंन गाक्‍मेनु, आ पशो नु आ शेंशो पिप हेरोदमी नेंना बाक्‍त। मेको पिप हेरोद चहिं मेको रागी ङा ४ भागमी भाग का ङा पिप बाक्‍माक्‍त। मोपतीके भाग का ङा आन पिप, दे नें वोइश्‍शो बाक्‍माक्‍त।	त्यस समयमा शासक हेरोदले येशूको बारेमा समाचार सुने ।
MAT	24	13	सु सु चहिं नेल्‍ल क्‍येङा नोले सम्‍म थमा सुइक्‍चा मप्रोंइथु बाक्‍नीमी, मेकोपुकी श्‍येत जचा रे ब्रोंइशा, गेना हना यो परमप्रभु यावे नु बाक्‍चा ताइनीम।	तर जो अन्तसम्म स्थिर रहन्छ, उसले उद्धार पाउनेछ ।
MRK	3	14	आं नु काथा बाक्‍चा कली नु शेंथ सोइक्‍चा कली	उहाँले बाह्र जनालाई नियुक्‍त गर्नुभयो, (जसलाई उहाँले प्रेरित नाउँ दिनुभयो), ताकि तिनीहरू उहाँसँग रहन सकून् र उहाँले तिनीहरूलाई प्रचार गर्न पठाउन सक्‍नुभएको होस्,
MRK	5	24	मिनु येसु मेको नु लमाक्‍त।	त्यसैले, उहाँ तिनीसँग जानुभयो, अनि ठुलो भिडले उहाँलाई पछ्यायो, अनि तिनीहरूले उहाँको वरिपरि ठेलमठेल गरे ।
LUK	20	22	मार लोव़ देंशा हना, पिप सिजर कली तिरो थाप्‍चा माल्‍बा देय मथाप्‍थु यो दुम्‍बा?” दे हिल्‍लो पखु पा, लोव़ ख्राइक्‍पाइक्‍चा माल्‍मे बाक्‍त।	हामीले कैसरलाई कर तिर्नु उचित छ कि छैन ?”
LUK	24	39	आं कली थिशा कोव़यीनी।	मेरा हात र खुट्टा हेर, त्यो म आफैँ हुँ । मलाई छोएर हेर । किनकि आत्माको मासु र हड्डी हुँदैन, जसरी तिमीले मेरो शरीरमा भएको देखेका छौ ।”
ACT	2	16	मार रुपीन देंशा हना, साइ परमप्रभु यावे आ लोव़ पाइब योएलमी ब्रेक्‍शो लोव़ मुल थमा दुम्‍त, दे रुपीने। साइ ङा लोव़म मार ब्रेक्‍शो बाक्‍त, देंशा हना	तर अगमवक्‍ता योएलद्वारा यो कुरा बोलिएको छः
COL	2	21	मेकोपुकीमी “मेको थिचा मदुम्‍ब, थाम्‍चा मदुम्‍ब, पचा मदुम्‍ब” देंनीम।	“नसमात, नचाख, नछोऊ ।”
HEB	12	18	साइ इं किकी पिपीपुकीमी परमप्रभु यावे कली ग्रुम्‍शो खोदेंशो पा मग्रुम्‍नीनी। मेकोपुकीमी गुइमी थिचा ङा डांडामी मी ब्रशा तामे बाक्‍त। मिनु छिङछिङ दुम्‍शा क्‍येर गोस्‍स बोक्‍शा, फश गिवार पा बुंबु पवा बाक्‍त। गे मेक सम्‍म मजाक्‍शो बाक्‍नीनी।	किनकि तिमीहरू जलिरहेको पहाड, अन्धकार, बादल र छुन नसक्‍ने पहाडमा आएका छैनौ ।
1JN	5	7	परमप्रभु यावे आ सोक्‍त मेको आ सांकछी बाक्‍ब। मारदे हना परमप्रभु यावे आ सोक्‍तीम थमा लोव़ ला पाइब।	किनकि गवाही दिनेहरू तिन छन्,
1JN	5	8	मोपा सांकछी सां बाक्‍नीम। का परमप्रभु यावे आ सोक्‍त बाक्‍ब, का ब्‍वाक्‍कु रे जरमेतीके बाक्‍ब नु का मुर आन मरिम्‍शो पतीके आ पर्बम येसु साइक्‍चा पुंइसीशो ङा हुश बाक्‍ब। मिनु मेको सांफा गारनीमी।	आत्मा, पानी र रगत अनि यी तिनै सहमत हुन्छन् ।
REV	7	5	यहूदा आ थर रे १२ हजार,	यहूदाको कुलबाट बाह्र हजारलाई, रूबेनको कुलबट बाह्र हजारलाई, गादको कुलबाट बाह्र हजारलाई छाप लगाइएको थियो,
REV	7	6	आशेर आ थर रे १२ हजार,	आशेरको कुलबाट बाह्र हजारलाई, नप्‍तालीको कुलबाट बाह्र हजारलाई र मनश्शेको कुलबाट बाह्र हजारलाई छाप लगाइएको थियो ।
REV	7	7	सिमियोन आ थर रे १२ हजार,	शिमियोनको कुलबाट बाह्र हजारलाई, लेवीको कुलबाट बाह्र हजारलाई, इस्‍साखारको कुलबाट बाह्र हजारलाई,
REV	7	8	जबूलून आ थर रे १२ हजार,	जबूलूनको कुलबाट बाह्र हजारलाई, योसेफको कुलबाट बाह्र हजारलाई र बेन्यामीनको कुलबाट बाह्र हजारलाई छाप लगाइएको थियो ।
REV	11	3	मिनु नोले गो परमप्रभु यावेमी आ सांकछी निक्‍शी आस कली मार लोव़ पशो नेंता देंशा हना “गे आं लोव़ पाइब दुम्‍नीसी। गो इस कली आं लोव़ पचा कली सक्ति गेनुङ। गे निक्‍शीमी अरन्‍डी फेक्‍शा, हजार का सहे निक्‍शी ६० नाक्‍त सम्‍म आं लोव़ पाइनीसी” दे परमप्रभु यावेमी आ सांकछी निक्‍शी आस कली लोव़ पशो नेंता।	मेरा दुई साक्षीलाई म १,२६० दिनका निम्ति भाङ्ग्राको लुगा लगाएर अगमवाणी गर्न अधिकार दिनेछु ।”
REV	21	20	मेको आ नोले ङा जग सुन्‍तला रङ ङा सारदोनीक्‍स माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मेको आ नोले ङा जग लल सारदीस माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मेको आ नोले ङा जग हौ नु गिगी ब्‍वाइश्‍शो क्रीसोलीथ माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मेको आ नोले ङा जग सुन रङ ङा बेरील माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मेको आ नोले ङा जग शुश हौ तोपास माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मेको आ नोले ङा जग गिगी क्रीसोप्रास माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मेको आ नोले ङा जग लल नु नीलो ब्‍वाइश्‍शो हीयाचीन्‍त माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त। मिनु नेल्‍ल क्‍येङा नोले ङा जग प्‍याजी रङ ङा आमेथीस्‍त माइश्‍शो हीरामी ग्‍योम्‍शो बाक्‍त।	पाँचौँ आनिक्स थियो, छैटौँ लालमणि थियो, सातौँ पीतमणि थियो, आठौँ बेरूज थियो, नवौँ पुष्पराज थियो, दसौँ लसुने रत्‍न थियो । एघारौँ नीलमणि थियो, र बाह्रौँ कटेला थियो ।
