book	chapter	verse	suz_sentence	npi_sentence	alignment_type	confidence_signal
MAT	1	1	अब्राहाम आ तौ, पिप दाऊद आ तौ, येसु ख्रीस्‍त आ किकी पिपी आन नें एको बाक्‍नीम।	दाऊदका पुत्र अब्राहामका पुत्र येशू ख्रीष्‍टको वंशावलीको पुस्तक ।	1:1	length_only
MAT	1	2	येसु ख्रीस्‍त आ किकी पिपी सु सु बाक्‍मा बाक्‍त देंशा हना, ङोंइती अब्राहाम बाक्‍माक्‍त। अब्राहाममी इसहाक थि‍माक्‍त।	अब्राहाम इसहाकका पिता थिए, र इसहाक याकूबका पिता थिए, र याकूब यहूदा र तिनका दाजुभाइहरूका पिता थिए ।	2:1	length_only
MAT	1	3	यहूदामी तामार रे पेरेस नु जेरह तौ निक्‍शी थिम्‍सी बाक्‍त। पेरेसमी हेस्रोन थि‍माक्‍त।	यहूदा तामारद्वारा फारेस र जाहेरका पिता थिए, फारेस हेस्रोनका पिता, र हेस्रोन आरामका पिता थिए ।	2:1	length_only
MAT	1	4	अराममी अम्‍मीनादाब थि‍माक्‍त। अम्‍मीनादाबमी नहशोन थि‍माक्‍त।	आराम अम्मीनादाबका पिता, अम्मीनादाब नहशोनका पिता, र नहशोन सल्मोनका पिता थिए ।	2:1	length_only
MAT	1	5	साल्‍मोनमी राहाब माइश्‍शो मीश रे बोआज थि‍माक्‍त। बोआजमी रूथ माइश्‍शो मीश रे ओबेद थि‍माक्‍त।	सल्मोन राहाबद्वारा बोअजका पिता, बोअज रूथद्वारा ओबेदका पिता, ओबेद यिशैका पिता थिए,	2:1	length_only
MAT	1	6	पिप दाऊदमी उरीयाह आ मीश चाक्‍शा, सोलोमन थि‍माक्‍त।	यिशै दाऊद राजाका पिता थिए । दाऊद उरियाहकी पत्‍नीद्वारा सोलोमनका पिता थिए ।	1:2	length_only
MAT	1	7	सोलोमनमी रेहोबाम थि‍माक्‍त। रेहोबाममी अबीयाह थि‍माक्‍त।	सोलोमन रहबामका पिता, रहबाम अबियाका पिता, अबिया आसाका पिता थिए ।	2:1	length_only
MAT	1	8	येहो-शाफातमी योराम थि‍माक्‍त। मिनु योराममी उज्‍जीयाह थि‍माक्‍त।	आसा यहोशापातका पिता, यहोशापात यहोरामका पिता, र यहोराम उज्जियाहका पिता थिए ।	2:1	length_only
MAT	1	9	उज्‍जीयाहमी योथाम थि‍माक्‍त। योथाममी आहाज थि‍माक्‍त।	उज्जियाह योतामका पिता, योताम आहाजका पिता, आहाज हिजकियाका पिता थिए ।	2:1	length_only
MAT	1	10	हिज्कीयाहमी मनस्‍से थि‍माक्‍त। मनस्‍सेमी आमोन थि‍माक्‍त।	हिजकिया मनश्‍शेका पिता, मनश्‍शे अमोनका पिता, अमोन योशियाहका पिता थिए ।	2:1	length_only
MAT	1	11	योसीयाहमी येकोन्‍याह नु आ लोक्‍ब थीमी बाक्‍त। येकोन्‍याह आ पालामी बेबीलोन ङा मुरपुकीमी यहूदी आन कली लडाइ पा ग्‍याइश्‍शा बेबीलोन चाक्‍दीत्‍मे बाक्‍त।	बेबिलोनमा निर्वासनको समयमा योशियाह यकोनियास र तिनका दाजुभाइहरूका पिता भए ।	2:1	length_only
MAT	1	12	बेबीलोन चाक्‍दीत्‍मे आ नोले येकोन्‍याहमी शाल्‍तीएल थिम्‍माक्‍त। शाल्‍तीएलमी जेरूब-बाबेल थि‍माक्‍त।	र बेबिलोनमा निर्वासनपछि यकोनियास शालतिएलका पिता भए, शालतिएल यरुबाबेलका पूर्वज थिए ।	2:1	length_only
MAT	1	13	जेरूब-बाबेलमी अबीउद थि‍माक्‍त। अबीउदमी एल्‍याकीम थि‍माक्‍त।	यरुबाबेल अबिउदका पिता, अबिउद एल्याकीमका पिता, र एल्याकीम आजोरका पिता थिए ।	2:1	length_only
